hhID,SUBREG,SUBREG_GRP,SUBREGCluster,HHSize,HHIncome,HHDwelling,HHChildren,HHweight,SUBREG_GRPDummy,SUBREGClusterDummy
23519,82,38,3,4,3,1,1,16.44736587,38,3
23520,22,5,2,1,2,2,0,37.35369136,5,2
23521,73,32,3,2,1,1,0,50.0922619,32,3
23522,68,28,3,2,2,2,0,29.48582053,28,3
23523,69,29,3,3,3,1,0,42.86345741,29,3
23524,83,39,3,2,3,2,0,37.06229615,39,3
23525,38,11,4,3,2,1,0,34.36724645,11,4
23526,71.1,30,1,1,1,2,0,39.66397038,30,1
23527,52.2,20,3,3,3,1,0,37.15883436,20,3
23528,62.1,25,2,1,3,2,0,51.49353372,25,2
23529,69,29,3,2,2,1,0,42.86345741,29,3
23530,62.2,26,4,1,1,1,0,47.77685387,26,4
23531,55,21,3,2,2,1,0,38.37644494,21,3
23532,42.2,14,1,4,3,2,1,17.31873928,14,1
23533,69,29,3,1,2,1,0,42.86345741,29,3
23534,53.2,20,3,2,3,1,0,37.15883436,20,3
23535,41,12,2,2,1,1,0,37.44934896,12,2
23536,63,27,1,1,2,2,0,40.34653465,27,1
23537,33,6,2,1,2,2,0,24.16290488,6,2
23538,71.2,30,3,4,1,2,1,17.84878667,30,3
23539,22,5,2,1,2,2,0,37.35369136,5,2
23540,38,11,4,2,2,2,0,34.36724645,11,4
23541,93,41,3,2,3,1,0,44.75355287,41,3
23542,34,7,4,3,2,1,0,35.08183565,7,4
23543,13.1,3,1,1,2,2,0,32.17161866,3,1
23544,69,29,3,2,2,1,0,42.86345741,29,3
23545,75,34,3,2,2,1,0,36.64959926,34,3
23546,72,31,3,1,2,2,0,56.12835793,31,3
23547,38,11,4,2,2,1,0,34.36724645,11,4
23548,12,2,4,2,3,2,0,20.3367354,2,4
23549,62.1,25,2,2,1,2,0,51.49353372,25,2
23550,81,37,1,1,1,1,0,41.63658283,37,1
23551,35,8,3,3,3,2,0,33.68115209,8,3
23552,62.2,26,4,4,2,1,1,18.13152465,26,4
23553,11.1,1,2,3,1,2,1,54.78276918,1,2
23554,22,5,2,2,3,2,0,37.35369136,5,2
23555,12,2,4,4,3,1,1,9.151530931,2,4
23556,53.2,20,3,2,2,1,0,37.15883436,20,3
23557,75,34,3,3,3,2,1,36.64959926,34,3
23558,33,6,2,3,2,2,1,24.16290488,6,2
23559,77,35,4,1,2,1,0,38.01839415,35,4
23560,83,39,3,2,2,1,0,37.06229615,39,3
23561,69,29,3,2,2,1,0,42.86345741,29,3
23562,39,11,2,2,2,2,0,34.36724645,11,2
23563,38,11,4,2,2,1,0,34.36724645,11,4
23564,21,4,2,1,1,2,0,29.76898566,4,2
23565,12,2,4,4,2,1,1,9.151530931,2,4
23566,57.2,23,3,2,1,1,0,38.236955,23,3
23567,92,40,4,2,2,2,0,59.0185667,40,4
23568,83,39,3,1,2,2,0,51.8851737,39,3
23569,22,5,2,1,1,2,0,37.35369136,5,2
23570,34,7,4,4,3,1,1,79.96904436,7,4
23571,75,34,3,4,3,2,0,91.62399815,34,3
23572,35,8,3,1,1,1,0,33.68115209,8,3
23573,51.1,19,1,2,3,1,0,32.82337558,19,1
23574,11.1,1,2,3,3,1,1,38.66814155,1,2
23575,52.2,20,3,2,2,1,0,37.15883436,20,3
23576,53.2,20,3,4,2,1,1,16.72147546,20,3
23577,92,40,4,2,2,1,0,59.0185667,40,4
23578,77,35,4,2,2,1,0,38.01839415,35,4
23579,51.1,19,1,4,3,1,0,74.82088463,19,1
23580,52.2,20,3,3,3,1,1,37.15883436,20,3
23581,73,32,3,2,2,2,0,50.0922619,32,3
23582,92,40,4,2,1,1,0,59.0185667,40,4
23583,57.1,22,1,1,2,1,0,69.93333333,22,1
23584,71.1,30,1,4,2,1,0,17.84878667,30,1
23585,93,41,3,2,3,1,0,44.75355287,41,3
