"TAZ","POPBASE","HHBASE","HHS1BASE","HHS2BASE","HHS3BASE","HHS4BASE","AGE1BASE","AGE2BASE","AGE3BASE","AGE4BASE","HHI1BASE","HHI2BASE","HHI3BASE","HHI4BASE","PSFD","GQPOPBASE"
369,3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,160,69,10,40,10,9,54,13,0,2,43,11,15,0,0.1807,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,28,11,2,4,3,2,0,5,3,3,0,2,4,5,0.6667,0
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,177,102,43,47,9,3,88,12,2,0,63,17,22,0,0.1714,0
382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,170,74,23,31,5,15,57,16,0,1,63,5,6,0,0.1277,0
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,909,2,0,1,0,1,2,0,0,0,2,0,0,0,0.5,903
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,883,1,0,0,0,1,1,0,0,0,0,0,1,0,1,849
396,4,2,1,0,1,0,1,1,0,0,0,0,2,0,1,0
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,216,77,13,27,13,24,13,30,16,18,25,14,26,12,0.4359,0
