"TAZ","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
347,41,3,10800,41003010800,108,"Census Tract 108",600,1
348,41,3,10800,41003010800,108,"Census Tract 108",600,1
349,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
350,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
351,41,3,10900,41003010900,109,"Census Tract 109",600,1
352,41,3,10900,41003010900,109,"Census Tract 109",600,1
353,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
354,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
355,41,3,10900,41003010900,109,"Census Tract 109",600,1
356,41,3,10900,41003010900,109,"Census Tract 109",600,1
357,41,3,10900,41003010900,109,"Census Tract 109",600,1
358,41,3,10900,41003010900,109,"Census Tract 109",600,1
359,41,3,10900,41003010900,109,"Census Tract 109",600,1
360,41,3,10900,41003010900,109,"Census Tract 109",600,1
361,41,3,10900,41003010900,109,"Census Tract 109",600,1
362,41,3,10900,41003010900,109,"Census Tract 109",600,1
363,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
364,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
365,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
366,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
367,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
368,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
369,41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
370,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
371,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
372,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
373,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
376,41,3,10900,41003010900,109,"Census Tract 109",600,1
377,41,3,10900,41003010900,109,"Census Tract 109",600,1
378,41,3,10900,41003010900,109,"Census Tract 109",600,1
379,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
380,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
381,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
382,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
383,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
384,41,3,10600,41003010600,106,"Census Tract 106",600,1
385,41,3,10600,41003010600,106,"Census Tract 106",600,1
386,41,3,10600,41003010600,106,"Census Tract 106",600,1
387,41,3,10600,41003010600,106,"Census Tract 106",600,1
388,41,3,10600,41003010600,106,"Census Tract 106",600,1
389,41,3,10600,41003010600,106,"Census Tract 106",600,1
390,41,3,10600,41003010600,106,"Census Tract 106",600,1
391,41,3,10600,41003010600,106,"Census Tract 106",600,1
392,41,3,10600,41003010600,106,"Census Tract 106",600,1
393,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
394,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
395,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
396,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
397,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
398,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
399,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
400,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
403,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
406,41,3,10200,41003010200,102,"Census Tract 102",600,1
407,41,3,10200,41003010200,102,"Census Tract 102",600,1
408,41,3,10900,41003010900,109,"Census Tract 109",600,1
409,41,3,10900,41003010900,109,"Census Tract 109",600,1
410,41,3,10300,41003010300,103,"Census Tract 103",600,1
415,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
416,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
417,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
418,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
419,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
420,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
421,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
422,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
423,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
424,41,3,10600,41003010600,106,"Census Tract 106",600,1
425,41,3,10600,41003010600,106,"Census Tract 106",600,1
426,41,3,10600,41003010600,106,"Census Tract 106",600,1
427,41,3,10600,41003010600,106,"Census Tract 106",600,1
428,41,3,10600,41003010600,106,"Census Tract 106",600,1
429,41,3,10600,41003010600,106,"Census Tract 106",600,1
430,41,3,10600,41003010600,106,"Census Tract 106",600,1
431,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
432,41,3,10600,41003010600,106,"Census Tract 106",600,1
433,41,3,10600,41003010600,106,"Census Tract 106",600,1
434,41,3,10600,41003010600,106,"Census Tract 106",600,1
435,41,3,10600,41003010600,106,"Census Tract 106",600,1
436,41,3,10600,41003010600,106,"Census Tract 106",600,1
437,41,3,10600,41003010600,106,"Census Tract 106",600,1
438,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
439,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
440,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
441,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
442,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
443,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
444,41,3,10900,41003010900,109,"Census Tract 109",600,1
445,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
446,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
447,41,3,10600,41003010600,106,"Census Tract 106",600,1
448,41,3,10600,41003010600,106,"Census Tract 106",600,1
449,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
450,41,3,500,41003000500,5,"Census Tract 5",600,1
451,41,3,500,41003000500,5,"Census Tract 5",600,1
452,41,3,10200,41003010200,102,"Census Tract 102",600,1
453,41,3,10600,41003010600,106,"Census Tract 106",600,1
454,41,3,10900,41003010900,109,"Census Tract 109",600,1
455,41,3,10900,41003010900,109,"Census Tract 109",600,1
456,41,3,10900,41003010900,109,"Census Tract 109",600,1
457,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
458,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
459,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
460,41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
461,41,3,900,41003000900,9,"Census Tract 9",600,1
462,41,3,900,41003000900,9,"Census Tract 9",600,1
463,41,3,900,41003000900,9,"Census Tract 9",600,1
464,41,3,900,41003000900,9,"Census Tract 9",600,1
465,41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
466,41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
467,41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
468,41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
469,41,3,10600,41003010600,106,"Census Tract 106",600,1
470,41,3,10600,41003010600,106,"Census Tract 106",600,1
471,41,3,10800,41003010800,108,"Census Tract 108",600,1
472,41,3,10800,41003010800,108,"Census Tract 108",600,1
473,41,3,10800,41003010800,108,"Census Tract 108",600,1
474,41,3,10800,41003010800,108,"Census Tract 108",600,1
475,41,3,100,41003000100,1,"Census Tract 1",600,1
476,41,3,100,41003000100,1,"Census Tract 1",600,1
500,41,43,20100,41043020100,201,"Census Tract 201",600,1
501,41,43,20100,41043020100,201,"Census Tract 201",600,1
502,41,43,20100,41043020100,201,"Census Tract 201",600,1
503,41,43,20100,41043020100,201,"Census Tract 201",600,1
504,41,43,20100,41043020100,201,"Census Tract 201",600,1
505,41,43,20100,41043020100,201,"Census Tract 201",600,1
506,41,3,10100,41003010100,101,"Census Tract 101",600,1
507,41,3,10100,41003010100,101,"Census Tract 101",600,1
508,41,3,10100,41003010100,101,"Census Tract 101",600,1
509,41,3,10100,41003010100,101,"Census Tract 101",600,1
510,41,3,10100,41003010100,101,"Census Tract 101",600,1
511,41,43,20100,41043020100,201,"Census Tract 201",600,1
512,41,43,20100,41043020100,201,"Census Tract 201",600,1
513,41,43,20100,41043020100,201,"Census Tract 201",600,1
514,41,43,20100,41043020100,201,"Census Tract 201",600,1
515,41,43,20100,41043020100,201,"Census Tract 201",600,1
