"TAZ","BLKGRP","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
423,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
424,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
425,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
426,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
427,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
428,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
429,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
430,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
431,"34",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
432,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
433,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
434,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
435,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
436,"36",41,3,10600,41003010600,106,"Census Tract 106",600,1
437,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
438,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
439,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
440,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
441,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
442,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
443,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
444,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
445,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
446,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
447,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
448,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
449,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
450,"55",41,3,500,41003000500,5,"Census Tract 5",600,1
451,"53",41,3,500,41003000500,5,"Census Tract 5",600,1
452,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
453,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
454,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
455,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
456,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
457,"19",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
458,"19",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
459,"19",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
460,"19",41,3,1001,41003001001,10.01,"Census Tract 10.01",600,1
461,"24",41,3,900,41003000900,9,"Census Tract 9",600,1
462,"24",41,3,900,41003000900,9,"Census Tract 9",600,1
463,"25",41,3,900,41003000900,9,"Census Tract 9",600,1
464,"25",41,3,900,41003000900,9,"Census Tract 9",600,1
465,"26",41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
466,"26",41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
467,"28",41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
468,"28",41,3,1101,41003001101,11.01,"Census Tract 11.01",600,1
469,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
470,"48",41,3,10600,41003010600,106,"Census Tract 106",600,1
471,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
472,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
473,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
474,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
475,"3",41,3,100,41003000100,1,"Census Tract 1",600,1
476,"3",41,3,100,41003000100,1,"Census Tract 1",600,1
500,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
501,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
502,"90",41,43,20100,41043020100,201,"Census Tract 201",600,1
503,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
504,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
505,"88",41,43,20100,41043020100,201,"Census Tract 201",600,1
506,"50",41,3,10100,41003010100,101,"Census Tract 101",600,1
