TAZ,POPBASE,HHBASE,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHAGE1,HHAGE2,HHAGE3,HHAGE4,HHINC1,HHINC2,HHINC3,HHINC4,OSUFAM,OSUNFAM,STATEFP,COUNTYFP,TRACTCE,TRACTGEOID,PUMA,REGION,MAZ,xTAZ
300,47,30,23,7,0,0,17,11,1,1,15,9,2,4,2,19,41,3,10600,41003010600,600,1,189,15
301,240,116,25,71,11,9,90,22,2,2,81,19,10,6,17,145,41,3,10600,41003010600,600,1,190,15
302,1013,559,254,213,61,31,363,157,20,19,392,91,49,27,69,521,41,3,10600,41003010600,600,1,191,15
303,23,8,1,0,6,1,6,1,1,0,5,1,2,0,2,13,41,3,10702,41003010702,600,1,192,16
304,1117,486,164,157,74,91,108,303,45,30,176,180,108,22,62,167,41,3,100,41003000100,600,1,193,1
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,100,41003000100,600,1,194,1
307,178,62,25,14,9,14,0,35,20,7,17,8,25,12,8,22,41,3,100,41003000100,600,1,195,1
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,100,41003000100,600,1,196,1
309,539,204,51,78,27,48,15,104,57,28,8,59,94,43,29,67,41,3,100,41003000100,600,1,197,1
310,484,186,35,75,34,42,16,111,42,17,7,54,86,39,28,74,41,3,100,41003000100,600,1,198,1
311,452,206,58,85,38,25,45,100,42,19,54,68,54,30,27,86,41,3,100,41003000100,600,1,199,1
312,532,251,81,103,40,27,51,142,33,25,66,83,66,36,34,137,41,3,100,41003000100,600,1,200,1
313,286,134,49,47,19,19,11,78,32,13,36,44,35,19,17,63,41,3,100,41003000100,600,1,201,1
314,12,3,1,0,0,2,0,2,0,1,1,0,1,1,1,1,41,3,100,41003000100,600,1,202,1
315,1500,623,132,256,132,103,139,353,70,61,170,84,253,116,78,168,41,3,100,41003000100,600,1,203,1
316,554,217,50,67,47,53,23,148,20,26,59,29,89,40,27,44,41,3,100,41003000100,600,1,204,1
317,569,197,30,58,50,59,23,145,17,12,54,27,80,36,27,43,41,3,100,41003000100,600,1,205,1
318,184,70,12,30,12,16,3,35,21,11,19,10,28,13,8,8,41,3,100,41003000100,600,1,206,1
319,21,12,4,7,1,0,0,7,3,2,3,2,5,2,1,1,41,3,100,41003000100,600,1,207,1
320,14,8,3,4,0,1,0,4,2,2,2,2,3,1,0,0,41,3,10400,41003010400,600,1,208,14
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10400,41003010400,600,1,209,14
322,6,3,2,1,0,0,0,0,2,1,1,1,1,0,0,0,41,3,10400,41003010400,600,1,210,14
323,140,50,7,16,14,13,1,34,6,9,8,7,16,19,5,2,41,3,10900,41003010900,600,1,211,18
324,16,5,0,1,2,2,0,3,2,0,1,1,1,2,1,0,41,3,10900,41003010900,600,1,212,18
325,262,94,15,23,30,26,2,67,11,14,16,12,30,36,8,3,41,3,10900,41003010900,600,1,213,18
326,245,92,24,26,22,20,4,55,19,14,15,12,30,35,8,3,41,3,10900,41003010900,600,1,214,18
327,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,41,3,10800,41003010800,600,1,215,17
328,124,49,17,13,6,13,1,29,8,11,10,13,18,8,4,2,41,3,10800,41003010800,600,1,216,17
329,177,65,16,15,17,17,7,41,10,7,14,17,24,10,6,3,41,3,10800,41003010800,600,1,217,17
330,15,9,5,3,0,1,0,6,1,2,2,2,3,2,1,0,41,3,10800,41003010800,600,1,218,17
331,18,8,5,2,0,1,0,6,2,0,2,2,3,1,1,0,41,3,10800,41003010800,600,1,219,17
332,54,23,7,8,4,4,2,14,2,5,5,6,8,4,2,1,41,3,10800,41003010800,600,1,220,17
333,120,56,23,19,4,10,3,36,9,8,12,14,21,9,4,3,41,3,10800,41003010800,600,1,221,17
334,134,50,13,15,9,13,3,26,8,13,11,13,18,8,5,5,41,3,10800,41003010800,600,1,222,17
335,124,50,14,18,6,12,2,26,12,10,11,13,18,8,5,4,41,3,10800,41003010800,600,1,223,17
336,317,133,22,69,20,22,3,50,40,40,16,18,24,75,5,0,41,3,10300,41003010300,600,1,224,13
337,460,159,20,63,27,49,1,96,35,27,19,21,29,90,8,1,41,3,10300,41003010300,600,1,225,13
338,167,76,20,35,10,11,0,29,20,27,9,10,14,43,3,0,41,3,10300,41003010300,600,1,226,13
339,6,3,1,1,0,1,0,1,0,2,1,0,1,1,0,0,41,3,10800,41003010800,600,1,227,17
340,62,19,1,7,3,8,1,10,4,4,3,3,7,6,2,1,41,3,10800,41003010800,600,1,228,17
341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10800,41003010800,600,1,229,17
342,144,58,18,19,7,14,4,27,11,16,5,21,16,16,6,7,41,3,10800,41003010800,600,1,230,17
343,36,13,2,6,1,4,0,5,3,5,1,5,3,4,1,1,41,3,10800,41003010800,600,1,231,17
344,144,47,4,15,9,19,2,37,1,7,4,17,13,13,6,5,41,3,10800,41003010800,600,1,232,17
345,27,12,2,7,2,1,0,4,3,5,1,5,3,3,1,1,41,3,10800,41003010800,600,1,233,17
346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10800,41003010800,600,1,234,17
347,195,81,28,27,10,16,16,44,14,7,6,30,22,23,9,13,41,3,10800,41003010800,600,1,235,17
348,294,113,22,47,17,27,8,61,20,24,9,42,30,32,13,17,41,3,10800,41003010800,600,1,236,17
349,205,78,16,29,14,19,0,44,25,9,17,20,20,21,9,10,41,3,202,41003000202,600,1,237,2
350,660,223,28,81,38,76,2,132,51,38,50,55,57,61,27,26,41,3,202,41003000202,600,1,238,2
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10900,41003010900,600,1,239,18
352,18,8,2,5,0,1,0,4,4,0,0,1,3,4,1,1,41,3,10900,41003010900,600,1,240,18
353,475,178,38,56,39,45,15,105,28,30,43,41,46,48,28,91,41,3,202,41003000202,600,1,241,2
354,39,17,6,6,1,4,0,9,5,3,4,4,4,5,2,6,41,3,202,41003000202,600,1,242,2
355,302,141,50,53,19,19,7,58,22,54,3,22,52,64,18,59,41,3,10900,41003010900,600,1,243,18
356,1307,511,124,173,82,132,105,294,53,59,8,81,190,232,74,194,41,3,10900,41003010900,600,1,244,18
357,37,13,2,5,3,3,0,8,3,2,0,2,5,6,2,4,41,3,10900,41003010900,600,1,245,18
358,94,34,8,13,6,7,5,17,6,6,0,5,13,16,6,18,41,3,10900,41003010900,600,1,246,18
359,6,3,0,3,0,0,0,2,0,1,0,1,1,1,0,0,41,3,10900,41003010900,600,1,247,18
360,34,12,0,5,4,3,1,2,5,4,0,2,4,6,2,5,41,3,10900,41003010900,600,1,248,18
